# table produced by mapDamage version 2.2.1
# using mapped file - and /home/e1garcia/shotgun_PIRE/pire_lcwgs_data_processing/salarias_fasciatus/1st_sequencing_run/refGenome/GCF_902148845.1_fSalaFa1.1_chr1-23-mtgen.fasta as reference file
# Std: strand of reads
Std	Length	Occurences 
+	199	76
+	166	202
+	44	57
+	148	314
+	151	311
+	97	604
+	124	572
+	72	186
+	127	588
+	100	652
+	195	86
+	121	572
+	98	566
+	39	40
+	140	430
+	60	142
+	159	247
+	101	626
+	109	725
+	64	159
+	105	701
+	120	646
+	86	261
+	84	221
+	104	699
+	122	608
+	168	178
+	156	232
+	153	290
+	96	527
+	123	603
+	126	585
+	145	360
+	147	322
+	133	485
+	54	125
+	135	481
+	73	179
+	79	179
+	106	726
+	117	684
+	77	187
+	112	698
+	209	49
+	205	44
+	110	684
+	99	640
+	94	466
+	203	69
+	132	490
+	144	370
+	114	666
+	102	655
+	190	100
+	134	494
+	91	389
+	113	716
+	108	768
+	143	375
+	116	673
+	193	78
+	74	174
+	51	82
+	119	614
+	130	544
+	111	660
+	50	95
+	189	84
+	207	42
+	142	402
+	92	391
+	244	11
+	131	521
+	125	584
+	47	73
+	139	374
+	155	257
+	137	441
+	181	104
+	35	15
+	162	223
+	146	362
+	61	142
+	68	154
+	75	163
+	118	634
+	62	126
+	184	116
+	136	460
+	186	110
+	163	216
+	33	8
+	83	190
+	103	719
+	182	90
+	173	139
+	183	136
+	129	560
+	128	520
+	150	317
+	213	27
+	141	398
+	188	79
+	78	162
+	152	313
+	185	101
+	95	492
+	55	117
+	115	656
+	174	153
+	154	278
+	69	154
+	171	155
+	88	266
+	107	729
+	138	451
+	93	470
+	89	309
+	228	27
+	67	162
+	57	112
+	76	189
+	167	197
+	196	59
+	71	161
+	52	106
+	66	150
+	149	298
+	187	93
+	221	35
+	40	28
+	206	34
+	215	41
+	192	93
+	169	170
+	59	126
+	175	154
+	178	132
+	90	376
+	82	198
+	80	194
+	160	230
+	85	259
+	240	20
+	81	191
+	87	257
+	269	9
+	158	253
+	63	165
+	58	138
+	41	41
+	200	64
+	42	51
+	180	105
+	176	155
+	37	21
+	45	76
+	49	81
+	259	14
+	170	173
+	194	62
+	161	220
+	202	69
+	271	4
+	165	182
+	172	166
+	227	28
+	222	44
+	208	55
+	197	70
+	65	162
+	70	157
+	157	252
+	179	102
+	43	41
+	56	95
+	248	13
+	53	92
+	38	22
+	191	91
+	236	22
+	220	31
+	264	5
+	177	144
+	48	87
+	232	16
+	246	13
+	247	10
+	164	208
+	32	6
+	210	46
+	229	18
+	201	59
+	285	2
+	256	9
+	217	35
+	212	42
+	219	27
+	214	36
+	198	57
+	233	13
